experiment_id	new_signal	r2_before	r2_after	delta_r2	status	n_videos	notes
exp_baseline	baseline_7signals	0.000	0.147	+0.147	keep	203	Initial model: keep+retention+z_score+novelty+cognitive_load+net_novelty+vz_score
exp_h0_replace	retention_per_sec_replace	0.3658	0.2875	-0.0783	discard	203	Replacing retention with retention_per_sec hurts — rps has negative weight alone
exp_h0_both	retention_per_sec_alongside	0.3658	0.4233	+0.0574	keep	203	retention + retention_per_sec together: rps captures duration confound while retention keeps raw signal
exp_h1_ret_mid	ret_mid	0.3781	0.4026	+0.0245	keep	202	Midpoint retention from retentionCurve. r=+0.29 vs log_views. Best individual curve signal
exp_h1_ret_var	ret_var	0.3781	0.3902	+0.0121	keep	202	Retention curve variance. r=-0.32 vs log_views (lower variance = more views)
exp_h1_ret_end	ret_end	0.3781	0.3890	+0.0109	keep	202	Average of last 5 curve points. r=+0.30 vs log_views
exp_h1_slopes	slope_10/slope_5/drop_3	0.3781	varies	negative	discard	202	All slope signals collinear with retention already in model — negative delta
loop_b_1	discovery:log_7day_velocity	—	—	—	discovery	202	r=+0.84, r_partial=+0.82. STRONGEST new signal. Log10 of first-7-day view sum predicts total views even after controlling for keep. Early algorithmic push is the mechanism.
loop_b_2	discovery:rc_max_single_drop	—	—	—	discovery	202	r=+0.41, r_partial=+0.36. Counter-intuitive: BIGGER max retention drops = MORE views. Dramatic narrative turns drive virality, not smooth retention.
loop_b_3	discovery:retention_variation	—	—	—	discovery	202	r=-0.32, r_partial=-0.26. LOWER retention variation = more views. Smooth, consistent watch patterns get algorithmic reward.
loop_b_4	discovery:rc_retention_75pct	—	—	—	discovery	202	r=+0.32, r_partial=+0.25. Retention at 75% mark predicts views beyond keep. Deep viewer engagement matters independently.
loop_b_5	discovery:rc_retention_10s	—	—	—	discovery	202	r=+0.38, r_partial=+0.24. 10-second retention mark predicts views. First 10s = algorithmic fate.
loop_b_6	discovery:rc_retention_mid	—	—	—	discovery	202	r=+0.29, r_partial=+0.24. Midpoint retention predicts views. Videos maintaining middle engagement outperform.
loop_b_7	discovery:engagement_min_above_baseline	—	—	—	discovery	202	r=+0.29, r_partial=+0.21. (retention-70)*duration = total watch-minutes above baseline. Algorithm rewards watch time volume.
loop_b_8	discovery:subscriber_avg_retention	—	—	—	discovery	202	r=+0.22, r_partial=+0.21. Higher sub retention % predicts views. Even loyal audience engagement matters.
loop_b_9	discovery:nonsub_avg_retention	—	—	—	discovery	202	r=+0.28, r_partial=+0.20. Non-subscriber retention predicts views. Cold traffic retention = virality signal.
loop_b_10	discovery:like_ratio_inverse	—	—	—	discovery	202	r=-0.30, r_partial=-0.19. Lower like/view ratio = MORE views. Viral videos reach beyond core audience.
loop_b_11	discovery:peak_view_day	—	—	—	discovery	202	r=+0.24, r_partial=+0.18. Later peak day in first 30 days = more views. Sustained/second-wave virality indicator.
loop_b_12	discovery:rc_early_drop_0_3s	—	—	—	discovery	202	r=+0.24, r_partial=+0.17. Bigger 0-3s drop = more views (counter-intuitive). High initial spike height matters more than drop.
loop_b_13	discovery:rc_slope_3_10s	—	—	—	discovery	202	r=+0.14, r_partial=+0.15. Flatter 3-10s slope = more views. Hook retention in seconds 3-10 predicts.
loop_b_14	discovery:rc_max_drop_timing	—	—	—	discovery	202	r=+0.01, r_partial=+0.14. Later max drop = more views. Early max drops = hook failure.
loop_b_15	discovery:sub_conversion_rate	—	—	—	discovery	202	r=+0.03, r_partial=+0.10. Subs gained per 10k views weakly predicts. Quality signal to algorithm.
loop_b_16	discovery:day1_share_inverse	—	—	—	discovery	202	r=-0.38, r_partial=-0.37. Viral videos DON'T peak day 1. Lower day-1 share = more total views. Algorithmic sustained push signal.
loop_b_17	discovery:day7_day1_ratio	—	—	—	discovery	202	r=+0.34, r_partial=+0.31. Day7/Day1 view ratio predicts total views. Sustained momentum is the key to virality.
loop_b_18	discovery:hook_hold_ratio_inv	—	—	—	discovery	202	r=-0.39, r_partial=-0.28. Counter-intuitive: lower hook hold ratio = more views. Big initial spike height (replays) matters more than keeping it.
loop_b_19	discovery:body_hold_ratio	—	—	—	discovery	202	r=+0.34, r_partial=+0.26. Retention at 75%/25% predicts views. The narrative middle separates viral from average.
loop_b_20	discovery:curve_roughness	—	—	—	discovery	202	r=+0.11, r_partial=+0.23. Rougher retention curves = more views. Dramatic pacing creates engagement through variation.
loop_b_21	discovery:effective_watch_sec	—	—	—	discovery	202	r=+0.35, r_partial=+0.23. Curve area * duration = total watch seconds per viewer. Algorithm rewards watch time volume.
loop_b_22	discovery:week2_week1_ratio	—	—	—	discovery	202	r=+0.28, r_partial=+0.22. Second week vs first week view ratio. Second-wave videos outperform.
loop_b_23	discovery:initial_spike	—	—	—	discovery	202	r=+0.32, r_partial=+0.19. Higher initial retention spike (>1.0 = replays) predicts views. Replay behavior = strong hook.
loop_b_24	discovery:weighted_eng_inverse	—	—	—	discovery	202	r=-0.30, r_partial=-0.19. Lower weighted engagement per view = more views. Virality dilutes per-view engagement as audience broadens.
loop_b_25	discovery:decay_rate	—	—	—	discovery	202	r=+0.18, r_partial=+0.18. Slower exponential retention decay predicts views. Captures overall curve shape quality.
loop_b_26	discovery:combined_score	—	—	—	discovery	202	r=+0.34, r_partial=+0.32. body_hold*10 + d7d1 - retVar*5. Best multi-signal combo found, captures 3 independent dimensions.
loop_b_27	discovery:duration_sweet_spot	—	—	—	discovery	202	46-60s = sweet spot (28/98 hit 10M+, 2.9M median). 15-30s = death zone (0/11, 513K median). 121s+ small sample but high avg.
loop_b_28	discovery:vz_B_z_C_combo	—	—	—	discovery	202	Best content combo: vz_type=B + z_type=C. Median 8.2M (3x avg). Visual curiosity gap + challenge/outcome text framing.
loop_b_29	discovery:swipe_away_paradox	—	—	—	discovery	202	Higher swipe rate = more views (26% high-view vs 12% low-view). But r_partial=0.001 — pure consequence of reaching broader audiences.
loop_b_30	discovery:rpm_inverse	—	—	—	discovery	202	r_partial=-0.27. Lower RPM = more views after controlling keep. Viral videos get pushed to less-monetizable audiences.
loop_b_31	discovery:curve_shape_taxonomy	—	—	—	discovery	202	medium_decay=2.8M median vs fast_decay=413K. 7x difference. Curve shape alone separates winners.
loop_b_32	discovery:title_making_keyword	—	—	—	discovery	202	'Making' = $24M avg (23 videos). Build/creation content is strongest format. 'Shoes' $11.5M, 'testing' $14M.
exp_h2_hook_clarity	hook_clarity	0.3184	0.2932	-0.0252	discard	199	LLM vision score 1-10. r=+0.21 vs views but hurts regression (noise). r=-0.02 vs keep
exp_h3_visual_surprise	visual_surprise	0.3184	0.2820	-0.0365	discard	199	LLM vision score 1-10. r=+0.30 vs keep but too noisy for regression
exp_h4_face_presence	face_presence	0.3184	0.2822	-0.0362	discard	199	LLM vision score 0/1. 80% have faces. r=+0.12 vs views but hurts model
exp_h5_duration_bucket	is_short/is_long	0.4026	varies	negative	discard	202	Duration buckets don't help. Only 10 shorts in dataset. Long videos R²=0.50 in stratified model
exp_h6_keep_sq	keep_sq	0.4026	0.4337	+0.0311	keep	202	Non-linear keep effect (keep²). Captures accelerating returns at high keep rates
exp_h7_keep_x_vz	keep_x_vz	0.4026	0.4199	+0.0173	discard	202	keep×vz interaction. Individually kept but doesn't add on top of keep_sq (+0.001)
exp_h8_log_duration	log_duration	0.4026	0.4113	+0.0087	discard	202	log10(duration). Below threshold (+0.009)
exp_h9_net_engagement	net_engagement	0.4026	0.4026	-0.0000	discard	202	keep+retention-100. Perfectly collinear with existing features
loop_b_33	discovery:derivative_std	—	—	—	discovery	202	r=+0.39, r_partial=+0.38. TOP SIGNAL. StdDev of retention curve derivative = 'dramatic pacing'. Varied rate-of-change beats monotonic decay.
loop_b_34	discovery:derivative_mean	—	—	—	discovery	202	r=-0.11, r_partial=-0.24. More negative mean derivative = more views. Viral videos decay faster because they start higher.
loop_b_35	discovery:final_derivative	—	—	—	discovery	202	r=+0.02, r_partial=-0.18. Viral videos still losing viewers at end, not flattening. Tension maintained through finale.
loop_b_36	discovery:sentence_count	—	—	—	discovery	202	r=+0.19, r_partial=+0.18. More transcript sentences = more views. Narrative density matters.
loop_b_37	discovery:post_cliff_derivative	—	—	—	discovery	202	r=-0.23, r_partial=-0.15. No recovery needed after cliff. Committed audience stays regardless.
loop_b_38	discovery:word_count	—	—	—	discovery	202	r=+0.19, r_partial=+0.12. More words = more views. Content density signal.
exp_curve_max_cliff	max_cliff	0.4337	0.5263	+0.0926	keep	202	Biggest single-point retention drop in curve. r=+0.41 vs log_views. Signals initial virality spike
exp_curve_roughness	roughness	0.4337	0.5080	+0.0743	discard	202	Mean abs 2nd derivative. r=+0.12. Collinear with max_cliff — doesn't add on top
exp_curve_ret_q75	ret_q75	0.5263	0.5303	+0.0040	discard	202	75th percentile retention. Doesn't add >0.01 on top of max_cliff
exp_curve_tail_stab	tail_stability	0.5263	0.5282	+0.0019	discard	202	Tail std dev. Doesn't add incrementally
exp_curve_shape_ratio	shape_ratio	0.4337	0.4555	+0.0218	discard	202	Early/late retention ratio. Individually kept but collinear with max_cliff
exp_curve_hook_drop	hook_drop	0.4337	0.4421	+0.0084	discard	202	Drop from peak to first minimum. Below threshold
loop_b_39	discovery:pacing_ratio	—	—	—	discovery	202	r_partial=+0.42. BEST SINGLE RATIO. deriv_std/retentionVariation = 'dramatic pacing efficiency'. Sharp turns at specific moments + smooth overall arc.
loop_b_40	discovery:body_trajectory_product	—	—	—	discovery	202	r_partial=+0.40. body_hold × (1-d1_share). Need BOTH mid-video retention AND sustained trajectory.
loop_b_41	discovery:keep_x_pacing	—	—	—	discovery	202	r_partial=+0.38. keep × deriv_std. Hook + dramatic pacing interaction outperforms either alone.
loop_b_42	discovery:optimal_3signal_model	—	—	—	discovery	202	r=0.61, r²=0.37. z(keep)+z(deriv_std)+z(d7d1) explains 37% of view variance. Best 3-signal model found.
loop_b_43	discovery:keep_threshold_75	—	—	—	discovery	202	Non-linear: <75% keep = 3-12% hit 10M+. 75-80% = 25%. 80-85% = 41%. Marginal keep above 75 doubles hit rate.
loop_b_44	discovery:vz_x_pacing	—	—	—	discovery	202	r_partial=+0.32. vz_score × deriv_std. Visual curiosity + pacing = pre-production predictable virality.
exp_poly_ret_mid_sq	ret_mid_sq	0.5467	0.5656	+0.0189	keep	202	Non-linear midpoint retention effect. Retained incrementally on top of sub_ret_gap
exp_sub_ret_gap	sub_ret_gap	0.5263	0.5467	+0.0203	keep	202	Subscriber vs non-subscriber retention gap. r=-0.22 vs views. Broad appeal signal
exp_deep_curves	replay_energy/entropy/kurtosis/etc	0.5263	varies	negative	discard	202	8 deep curve features tested. None improve over max_cliff. Curve signal already captured
exp_poly_misc	max_cliff_sq/vz_sq/rps_sq/etc	0.5263	varies	<0.01	discard	202	Most polynomial/interaction terms below threshold or hurt model
exp_title_caps	title_caps_ratio	0.5656	0.5892	+0.0236	discard	202	Uppercase ratio in title. Holdout +0.024 but CV drops — unstable/noise
exp_text_misc	idea_words/has_challenge/etc	0.5656	varies	marginal	discard	202	17 text features tested. None stable in CV. Best individual: title_caps_ratio
exp_viewed_rate	viewed_rate	0.5656	0.5957	+0.0301	note	202	OUTCOME variable (engagedViews/totalViews). +0.03 but circular — engagement predicts views
exp_growth_misc	growth_trajectory/viral_spike/etc	0.5656	varies	mostly_negative	discard	202	9 growth features. Most hurt model. age_days r=-0.06 (no age confound)
exp_cv_stability	5fold_cv_v5	n/a	0.3401	n/a	note	202	5-fold CV mean=0.34±0.16. Stable estimate of true generalization. Holdout R² optimistic
exp_backward_elim	feature_selection	0.3401	0.3613	+0.0212	keep	202	CV-guided backward elimination: dropped z_score, retention, vz_score, novelty, net_novelty. CV 0.340→0.361
exp_model_v6	optimized_8feat	0.3401	0.3613	+0.0212	keep	202	Final: keep, retention_per_sec, cognitive_load, ret_mid, keep_sq, max_cliff, sub_ret_gap, ret_mid_sq. Holdout=0.566, CV=0.361
exp_piecewise	piecewise_keep75	0.3613	0.3460	-0.0153	discard	202	Piecewise linear split on keep=75. Holdout +0.06 but CV worse and higher variance
exp_piecewise70	piecewise_keep70	0.3613	0.3883	+0.0270	note	202	CV best piecewise at keep=70 threshold: CV=0.388±0.155. Marginal but interesting
exp_knn	knn_k7	0.3613	varies	negative	discard	202	KNN regression doesn't beat OLS. Best k=7: holdout 0.538
exp_blend	ols_knn_blend	0.3613	0.3832	+0.0219	note	202	OLS+KNN(k=7) blend w=0.7: CV=0.383±0.140. Best CV so far but requires storing training data
exp_clustering	curve_clusters	0.5664	varies	marginal	discard	202	Retention curve clustering (k=2,3,4). No improvement over linear features
exp_hook_word_density	hook_word_density	0.3613	0.3756	+0.0143	keep	202	Words/sec in hook segment. CV stable +0.014. Visual hooks beat talky hooks (weight=-0.058)
exp_segment_misc	n_segments/pacing_var/etc	0.5664	varies	<0.01	discard	202	9 other segment features tested. None improve model
exp_creative_misc	keep_odds/cliff_sq/interactions	0.5664	varies	negative	discard	202	6 creative features. keep_odds borderline (+0.010) but doesn't pass strict threshold
exp_interactions	cog_x_cliff/ret_70/ret_80	0.5799	varies	cv_negative	discard	202	Interaction and discrete curve terms. Holdout +0.01 but CV drops. Overfitting
exp_multi_seed_cv	final_cv_10seeds	n/a	0.3390	n/a	note	202	Multi-seed (10) 5-fold CV: 0.339±0.015. Stable performance estimate for v7
exp_classification	viral_>10M	n/a	n/a	n/a	note	202	At threshold=6.7: accuracy=0.85, precision=0.60, recall=0.75. Useful for screening
exp_quintile_err	prediction_by_quintile	n/a	n/a	n/a	note	202	Q1(small): 3.6x error, Q2-Q4(medium): 1.6-2.0x, Q5(huge): 3.3x. Model best at medium range
exp_hook_llm_scores	open_loop/specificity	0.3756	varies	cv_negative	discard	189	LLM-scored hook open_loop and specificity. Neither helps. LLM content scores too noisy for n=200
